AirQualityStation,source,num_valid_measurements,mean_2018_2020_valid,unit
STA.CZ_ULOM,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_ULOM.csv,22911,11.034577276134609,µg/m3
STA.CZ_UDOK,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_UDOK.csv,23224,12.576201342300207,µg/m3
STA.CZ_UDCM,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_UDCM.csv,23381,18.21149223611052,µg/m3
STA.DE_DEBE066,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBE066.csv,8551,19.492095657780382,µg/m3
STA.CZ_TCER,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_TCER.csv,22579,5.799738694015235,µg/m3
STA.CZ_SPBR,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_SPBR.csv,8165,14.477697485952238,µg/m3
STA.CZ_SMBO,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_SMBO.csv,23246,16.552439128117097,µg/m3
STA.CZ_SKLS,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_SKLS.csv,22033,14.638292559877911,µg/m3
STA.CZ_SBER,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_SBER.csv,23042,25.394453605153636,µg/m3
STA.CZ_PPLV,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_PPLV.csv,22639,12.180144881516853,µg/m3
STA.CZ_PPLL,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_PPLL.csv,22703,15.330357220358543,µg/m3
STA.CZ_PPLE,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_PPLE.csv,22847,18.482614784056988,µg/m3
STA.CZ_PPLA,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_PPLA.csv,23153,19.34551893805468,µg/m3
STA.CZ_SROR,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_SROR.csv,20523,8.01962188631779,µg/m3
STA.DE_DEBE067,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBE067.csv,8729,43.4133646425146,µg/m3
STA.DE_DEBE068,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBE068.csv,8705,24.40068580917748,µg/m3
STA.DE_DEBE069,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBE069.csv,8694,40.71225902527951,µg/m3
STA.DE_DEBY079,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY079.csv,6023,9.685393135568654,µg/m3
